Name,Overs,Maidens,Runs Given,Wickets Taken,Economy Rate,Dot Balls,Fours hitten,Sixes hitten,Wide Deliveries,No Balls
Muthiah Muralidaran,8,0,24,1,3.00,28,0,0,0,0
Elijah Otieno,4,0,26,1,6.50,11,3,0,1,1
Trent Johnston,10,0,58,2,5.80,22,4,1,0,0
George Dockrell,10,0,68,1,6.80,24,4,1,5,0
John Mooney,9,0,63,4,7.00,20,4,2,1,0
Paul Stirling,10,0,45,1,4.50,27,3,0,0,0
James Anderson,8.1,1,49,1,6.00,31,6,2,1,0
Tim Bresnan,10,0,64,1,6.40,34,8,2,2,0
Graeme Swann,10,0,47,3,4.70,36,2,3,0,0
Ryan ten Doeschate,10,0,72,3,7.20,26,7,2,1,0
Bernard Loots,9,0,60,1,6.66,24,2,3,0,1
Dale Steyn,6,1,26,1,4.33,25,2,0,3,0
Jacques Kallis,6,0,19,2,3.16,24,2,0,0,0
Imran Tahir,6.5,0,19,3,2.78,28,1,0,2,0
Robin Peterson,5,0,22,2,4.40,19,0,2,1,0
Jean-Paul Duminy,6,0,16,1,2.66,24,0,0,1,0
Henry Osinde,7,1,25,1,3.57,34,4,0,5,0
Harvir Baidwan,8,1,35,3,4.37,32,4,0,2,0
Rizwan Cheema,8,0,33,2,4.12,27,2,0,3,0
Balaji Rao,10,0,50,2,5.00,31,4,1,1,0
Jimmy Hansra,6,1,23,2,3.83,17,0,0,0,0
Abdul Razzaq,7,2,16,1,2.28,33,1,0,1,0
Umar Gul,7,1,20,1,2.85,33,1,0,4,0
Shahid Afridi,10,0,23,5,2.30,47,2,0,3,0
Wahab Riaz,5.5,0,23,1,3.94,25,3,0,2,0
Saeed Ajmal,8,0,31,1,3.87,30,1,0,3,0
Kyle Mills,10,0,29,2,2.90,44,3,0,1,0
Tim Southee,9.2,3,29,3,3.10,41,3,0,2,0
Daniel Vettori,10,3,25,2,2.50,41,1,0,0,0
Scott Styris,4,0,13,1,3.25,14,1,0,0,0
Kemar Roach,6,0,19,3,3.16,28,2,0,1,1
Sulieman Benn,5.5,2,18,4,3.08,25,2,0,0,0
Daren Sammy,7,0,21,3,3.00,31,3,0,0,0
Naeem Islam,6,1,14,1,2.33,27,1,0,1,0
Brett Lee,5,0,27,1,5.40,18,2,0,2,0
Shaun Tait,5,0,23,1,4.60,17,3,0,0,0
Robin Peterson,8,2,22,3,2.75,35,2,0,1,0
Dale Steyn,9,0,37,1,4.11,31,2,0,1,0
Morne Morkel,7,0,16,2,2.28,33,2,0,1,0
Imran Tahir,8.4,1,38,4,4.38,30,4,0,1,0
Michael Yardy,9,1,46,1,5.11,30,4,0,0,0
James Anderson,6,0,16,2,2.66,27,1,0,3,0
Tim Bresnan,8,1,27,1,3.37,28,0,0,0,0
Graeme Swann,10,2,29,1,2.90,45,3,0,0,0
Stuart Broad,6.4,0,15,4,2.25,29,1,0,0,0
Zaheer Khan,9,1,30,3,3.33,38,4,0,1,0
Munaf Patel,4.5,0,25,1,5.17,16,3,0,1,0
Yuvraj Singh,10,0,31,5,3.10,38,2,0,1,0
Trent Johnston,5,1,16,2,3.20,21,2,0,1,0
George Dockrell,10,0,49,2,4.90,32,3,2,0,0
Henry Osinde,10,2,26,4,2.60,43,1,0,3,0
Harvir Baidwan,10,1,41,2,4.10,37,5,0,2,0
Rizwan Cheema,9,1,30,2,3.33,38,4,0,0,0
Balaji Rao,10,0,36,1,3.60,34,1,0,1,0
John Davison,5,0,26,1,5.20,14,1,1,0,0
Elijah Otieno,8.3,0,45,1,5.29,34,6,1,4,1
Nehemiah Odhiambo,10,0,45,2,4.50,41,8,0,0,0
James Ngoche,10,2,26,1,2.60,46,3,0,1,0
Shoaib Akhtar,9,0,70,1,7.77,34,7,4,3,3
Abdur Rehman,10,0,60,1,6.00,29,2,3,1,0
Umar Gul,10,1,32,3,3.20,41,2,1,2,0
Shahid Afridi,10,0,55,1,5.50,25,2,2,0,0
Mohammad Hafeez,7,0,26,1,3.71,20,0,0,1,0
Kyle Mills,8,1,43,2,5.37,30,6,1,0,0
Tim Southee,8,1,25,3,3.12,31,2,0,0,0
Jacob Oram,10,1,47,1,4.70,36,6,0,0,0
Nathan McCullum,6,0,28,2,4.66,19,2,0,1,0
Scott Styris,4.4,0,17,2,3.64,17,2,0,0,0
Zaheer Khan,6.4,0,20,3,3.00,30,3,0,0,0
Ashish Nehra,5,1,22,1,4.40,21,2,1,0,0
Piyush Chawla,10,0,47,2,4.70,34,3,2,0,1
Yuvraj Singh,9,1,43,2,4.77,29,5,0,0,0
Mudassar Bukhari,6,1,33,1,5.50,24,4,1,2,0
Pieter Seelaar,10,1,53,3,5.30,35,7,1,0,0
Peter Borren,8,0,33,1,4.12,30,3,1,0,0
Chris Mpofu,7,0,62,4,8.85,16,10,0,2,1
Ray Price,9,1,46,1,5.11,29,6,0,2,0
Prosper Utseya,10,0,50,1,5.00,27,4,0,1,0
Thisara Perera,6,0,33,1,5.50,20,3,1,0,0
Muthiah Muralidaran,9,0,34,3,3.77,28,2,0,0,0
Angelo Mathews,5,0,29,2,5.80,12,3,0,0,0
Tillakaratne Dilshan,3,1,4,4,1.33,15,0,0,0,0
Boyd Rankin,10,1,35,1,3.50,39,4,0,0,0
John Mooney,9,0,58,2,6.44,21,5,1,2,0
Andre Botha,10,0,56,1,5.60,22,4,0,0,0
Kevin O'Brien,9,0,71,4,7.88,25,5,5,0,0
