Name,Runs,Balls,Minutes Played,Fours,Sixes,Strike Rate
Brendan Taylor ,4,5,3,1,0,80.00
Regis Chakabva ,0,6,9,0,0,0.00
Tatenda Taibu †,19,29,54,2,0,65.51
Vusi Sibanda ,5,11,14,1,0,45.45
Craig Ervine ,52,82,98,5,0,63.41
Greg Lamb ,16,28,44,1,0,57.14
Elton Chigumbura (c),32,46,57,2,0,69.56
Prosper Utseya ,18,32,36,0,0,56.25
Graeme Cremer ,0,0,-,0,0,-
Mohammad Hafeez ,49,65,97,6,0,75.38
Ahmed Shehzad ,8,11,18,2,0,72.72
Asad Shafiq ,78,97,136,7,0,80.41
Shahid Afridi (c),3,4,6,0,0,75.00
Younis Khan ,13,28,50,0,0,46.42
Hashim Amla ,18,17,20,1,1,105.88
Graeme Smith (c),7,18,43,0,0,38.88
Morne van Wyk †,42,41,48,7,1,102.43
Jacques Kallis ,19,31,43,3,0,61.29
Jean-Paul Duminy ,99,103,139,6,1,96.11
Faf du Plessis ,11,19,21,0,0,57.89
Colin Ingram ,46,43,55,7,0,106.97
Johan Botha ,21,28,47,1,0,75.00
Robin Peterson ,0,0,1,0,0,-
William Porterfield (c),6,8,8,1,0,75.00
Paul Stirling ,10,11,15,2,0,90.90
Ed Joyce ,12,24,46,2,0,50.00
Niall O'Brien †,10,16,23,0,1,62.50
Gary Wilson ,31,48,60,4,1,64.58
Kevin O'Brien ,19,24,39,2,0,79.16
Alex Cusack ,7,11,23,1,0,63.63
John Mooney ,14,28,49,1,0,50.00
Trent Johnston ,12,16,14,0,1,75.00
George Dockrell ,16,12,19,3,0,133.33
Boyd Rankin ,0,2,3,0,0,0.00
Hiral Patel ,54,45,58,5,3,120.00
John Davison ,14,12,19,3,0,116.66
Zubin Surkari ,34,69,130,2,0,49.27
Ashish Bagai (c)†,39,55,74,6,0,70.90
Jimmy Hansra ,3,4,8,0,0,75.00
Rizwan Cheema ,2,2,12,0,0,100.00
Nitish Kumar ,7,18,26,0,0,38.88
Karl Whatham ,18,41,57,2,0,43.90
Harvir Baidwan ,17,14,17,3,0,121.42
Balaji Rao ,5,12,10,0,0,41.66
Henry Osinde ,2,3,6,0,0,66.66
Shane Watson ,94,90,129,9,4,104.44
Brad Haddin †,88,84,124,11,2,104.76
Ricky Ponting (c),7,15,30,0,0,46.66
Michael Clarke ,16,17,29,3,0,94.11
Cameron White ,4,3,3,1,0,133.33
Andrew Strauss (c),31,39,50,3,1,79.48
Matt Prior †,21,21,36,3,0,100.00
Jonathan Trott ,47,38,55,7,0,123.68
Ian Bell ,27,48,58,1,0,56.25
Eoin Morgan ,7,13,22,0,0,53.84
Ravi Bopara ,4,16,27,0,0,25.00
Luke Wright ,44,57,72,5,0,77.19
James Tredwell ,9,20,32,0,0,45.00
Tim Bresnan ,20,27,39,2,0,74.07
Graeme Swann ,8,8,14,1,0,100.00
Chris Tremlett ,3,7,6,0,0,42.85
Devon Smith ,10,27,37,0,0,37.03
Chris Gayle ,43,21,27,8,1,204.76
Daren Sammy (c),41,29,45,2,3,141.37
Darren Bravo ,5,15,15,1,0,33.33
Devon Thomas †,9,20,30,1,0,45.00
Ramnaresh Sarwan ,31,68,114,3,0,45.58
Kieron Pollard ,24,27,33,1,2,88.88
Andre Russell ,49,46,59,2,3,106.52
Sulieman Benn ,2,12,19,0,0,16.66
Kemar Roach ,0,2,1,0,0,0.00
Devendra Bishoo ,0,1,6,0,0,0.00
Eric Szwarczynski ,1,4,8,0,0,25.00
Wesley Barresi ,44,49,61,4,2,89.79
Tom Cooper ,5,5,7,1,0,100.00
Ryan ten Doeschate ,106,108,166,13,1,98.14
Alexei Kervezee ,12,16,34,2,0,75.00
Peter Borren (c),84,82,108,10,0,102.43
Atse Buurman †,26,30,49,4,0,86.66
Mudassar Bukhari ,11,8,22,0,1,137.50
Pieter Seelaar ,0,1,1,0,0,0.00
Adeel Raja ,0,0,1,0,0,-
Bernard Loots ,0,0,1,0,0,-
William Porterfield (c),68,93,116,10,0,73.11
Paul Stirling ,101,72,119,14,2,140.27
Ed Joyce ,28,33,45,3,0,84.84
Niall O'Brien †,57,58,83,7,0,98.27
Gary Wilson ,27,21,26,2,2,128.57
Kevin O'Brien ,15,9,13,0,2,166.66
Upul Tharanga ,3,7,13,0,0,42.85
Tillakaratne Dilshan ,3,15,22,0,0,20.00
Kumar Sangakkara (c)†,111,128,186,12,2,86.71
Mahela Jayawardene ,66,90,149,6,0,73.33
Angelo Mathews ,41,35,67,4,0,117.14
Thilan Samaraweera ,5,8,8,0,0,62.50
Chamara Silva ,3,5,5,0,0,60.00
Nuwan Kulasekara ,1,6,7,0,0,16.66
Lasith Malinga ,6,4,4,0,1,150.00
Muthiah Muralidaran ,7,3,7,0,1,233.33
Ajantha Mendis ,0,2,2,0,0,0.00
Martin Guptill ,13,23,36,1,0,56.52
Brendon McCullum †,14,16,30,2,0,87.50
Jesse Ryder ,19,23,55,2,0,82.60
Ross Taylor (c),33,55,72,3,1,60.00
Kane Williamson ,5,8,12,0,0,62.50
Scott Styris ,6,10,21,0,0,60.00
James Franklin ,20,29,44,2,0,68.96
Nathan McCullum ,4,8,13,0,0,50.00
Jacob Oram ,20,27,38,2,0,74.07
Tim Southee ,8,8,9,1,0,100.00
Hamish Bennett ,0,4,8,0,0,0.00
Hashim Amla ,51,59,93,6,0,86.44
Graeme Smith (c),45,68,86,4,0,66.17
Jacques Kallis ,69,76,88,5,1,90.78
Jean-Paul Duminy ,17,22,26,1,0,77.27
Faf du Plessis ,52,52,73,4,1,100.00
Morne van Wyk †,5,5,13,0,0,100.00
Johan Botha ,12,6,15,2,0,200.00
Robin Peterson ,22,9,15,4,0,244.44
Wayne Parnell ,0,1,2,0,0,0.00
Lonwabo Tsotsobe ,4,2,2,1,0,200.00
Tamim Iqbal ,5,14,13,1,0,35.71
Imrul Kayes ,4,15,22,1,0,26.66
Zunaed Siddique ,2,7,14,0,0,28.57
Shahriar Nafees ,5,12,12,1,0,41.66
Mushfiqur Rahim †,3,21,34,0,0,14.28
Shakib Al Hasan (c),30,49,63,4,0,61.22
Mahmudullah ,5,17,26,0,0,29.41
Naeem Islam ,8,20,24,1,0,40.00
Shafiul Islam ,0,2,1,0,0,0.00
Abdur Razzak ,0,2,3,0,0,0.00
Rubel Hossain ,8,9,10,2,0,88.88
Shane Watson ,9,16,24,1,0,56.25
Brad Haddin †,42,80,102,3,1,52.50
Ricky Ponting (c),19,33,57,2,0,57.57
Michael Clarke ,34,48,59,2,0,70.83
Cameron White ,8,18,22,0,0,44.44
Michael Hussey ,12,22,29,0,0,54.54
Steven Smith ,25,32,46,1,0,78.12
Mitchell Johnson ,0,3,4,0,0,0.00
Jason Krejza ,7,19,22,0,0,36.84
Brett Lee ,5,8,11,1,0,62.50
Shaun Tait ,0,1,5,0,0,0.00
Kamran Akmal †,23,27,48,5,0,85.18
Mohammad Hafeez ,5,8,12,1,0,62.50
Asad Shafiq ,46,81,148,5,0,56.79
Younis Khan ,31,42,66,4,0,73.80
Misbah-ul-Haq ,0,1,2,0,0,0.00
Umar Akmal ,44,59,80,4,1,74.57
Shahid Afridi (c),2,4,3,0,0,50.00
Abdul Razzaq ,20,24,33,2,0,83.33
Brendan Taylor ,26,36,41,5,0,72.22
Regis Chakabva ,9,22,36,1,0,40.90
Tatenda Taibu †,53,74,103,7,0,71.62
Vusi Sibanda ,61,57,82,7,1,107.01
Craig Ervine ,66,54,89,9,1,122.22
Elton Chigumbura (c),38,41,68,3,2,92.68
Greg Lamb ,17,10,14,1,1,170.00
Prosper Utseya ,19,6,9,3,1,316.66
Alex Obanda ,23,36,51,4,0,63.88
David Obuya †,0,2,4,0,0,0.00
Collins Obuya ,1,6,12,0,0,16.66
Steve Tikolo (c),10,14,16,2,0,71.42
Tanmay Mishra ,4,9,11,1,0,44.44
Thomas Odoyo ,14,29,35,2,0,48.27
Rakep Patel ,24,37,50,3,0,64.86
Nehemiah Odhiambo ,44,47,67,5,0,93.61
Peter Ongondo ,6,2,2,0,1,300.00
Elijah Otieno ,5,13,24,0,0,38.46
James Ngoche ,9,21,19,0,1,42.85
Gautam Gambhir ,22,26,34,4,0,84.61
Sachin Tendulkar ,2,4,4,0,0,50.00
Virat Kohli ,59,76,128,5,0,77.63
Yuvraj Singh ,113,123,163,10,2,91.86
MS Dhoni (c)†,22,30,41,1,0,73.33
Suresh Raina ,4,8,14,0,0,50.00
Yusuf Pathan ,11,10,16,1,0,110.00
Harbhajan Singh ,3,6,16,0,0,50.00
Ravichandran Ashwin ,10,7,14,1,0,142.85
Zaheer Khan ,5,3,4,1,0,166.66
Munaf Patel ,1,2,1,0,0,50.00
Devon Smith ,81,97,117,7,1,83.50
Kirk Edwards ,17,17,26,1,1,100.00
Darren Bravo ,22,29,35,1,1,75.86
Ramnaresh Sarwan ,39,68,111,3,0,57.35
Kieron Pollard ,1,3,6,0,0,33.33
Devon Thomas †,2,8,12,0,0,25.00
Daren Sammy (c),2,4,7,0,0,50.00
Andre Russell ,0,5,5,0,0,0.00
Sulieman Benn ,3,12,15,0,0,25.00
Devendra Bishoo ,6,11,13,1,0,54.54
Ravi Rampaul ,1,4,7,0,0,25.00
Devon Smith ,7,14,25,1,0,50.00
Chris Gayle ,8,9,12,2,0,88.88
Ramnaresh Sarwan ,24,68,92,2,0,35.29
Darren Bravo ,0,3,2,0,0,0.00
Shivnarine Chanderpaul ,44,106,156,0,1,41.50
Kieron Pollard ,1,7,9,0,0,14.28
Devon Thomas †,0,1,1,0,0,0.00
Daren Sammy (c),1,3,3,0,0,33.33
Devendra Bishoo ,0,3,3,0,0,0.00
Kemar Roach ,16,43,60,2,0,37.20
Ravi Rampaul ,0,5,4,0,0,0.00
Kamran Akmal †,47,61,88,7,0,77.04
Mohammad Hafeez ,61,64,88,10,0,95.31
Shane Watson ,25,38,39,5,0,65.78
Brad Haddin †,53,62,95,6,1,85.48
Ricky Ponting (c),104,118,172,7,1,88.13
Michael Clarke ,8,19,30,0,0,42.10
Michael Hussey ,3,9,15,0,0,33.33
Cameron White ,12,22,36,0,0,54.54
David Hussey ,38,26,44,3,1,146.15
Mitchell Johnson ,6,6,7,0,0,100.00
Virender Sehwag ,15,22,46,2,0,68.18
Sachin Tendulkar ,53,68,93,7,0,77.94
Gautam Gambhir ,50,64,116,2,0,78.12
Virat Kohli ,24,33,38,1,0,72.72
Yuvraj Singh ,57,65,90,8,0,87.69
MS Dhoni (c)†,7,8,19,1,0,87.50
Suresh Raina ,34,28,48,2,1,121.42
Martin Guptill ,1,14,24,0,0,7.14
Brendon McCullum †,4,4,7,0,0,100.00
Jesse Ryder ,83,121,157,8,0,68.59
Ross Taylor ,43,72,113,1,1,59.72
Scott Styris ,16,17,19,3,0,94.11
Kane Williamson ,38,41,63,1,1,92.68
Nathan McCullum ,6,18,29,0,0,33.33
Jacob Oram ,7,6,14,1,0,116.66
Daniel Vettori (c),6,4,4,1,0,150.00
Luke Woodcock ,3,3,8,0,0,100.00
Hashim Amla ,7,5,4,1,0,140.00
Graeme Smith (c),28,34,59,2,0,82.35
Jacques Kallis ,47,75,96,3,0,62.66
AB de Villiers †,35,40,63,4,0,87.50
Jean-Paul Duminy ,3,12,18,0,0,25.00
Faf du Plessis ,36,43,70,3,1,83.72
Johan Botha ,2,10,18,0,0,20.00
Robin Peterson ,0,5,9,0,0,0.00
Dale Steyn ,8,18,14,1,0,44.44
Morne Morkel ,3,17,30,0,0,17.64
Imran Tahir ,0,1,4,0,0,0.00
Andrew Strauss (c),5,19,30,0,0,26.31
Ian Bell ,25,32,36,3,0,78.12
Jonathan Trott ,86,115,172,2,0,74.78
Ravi Bopara ,31,56,70,1,0,55.35
Eoin Morgan ,50,55,66,4,0,90.90
Graeme Swann ,0,1,2,0,0,0.00
Matt Prior †,22,19,34,2,0,115.78
Luke Wright ,1,3,8,0,0,33.33
Upul Tharanga ,102,122,175,12,1,83.60
Tillakaratne Dilshan ,108,115,175,10,2,93.91
Martin Guptill ,39,65,91,3,0,60.00
Brendon McCullum †,13,21,27,1,1,61.90
Jesse Ryder ,19,34,48,2,0,55.88
Ross Taylor ,36,55,90,1,0,65.45
Scott Styris ,57,77,119,5,0,74.02
Kane Williamson ,22,16,23,3,0,137.50
Nathan McCullum ,9,9,9,0,1,100.00
Jacob Oram ,7,9,14,1,0,77.77
Daniel Vettori (c),3,3,10,0,0,100.00
Tim Southee ,0,3,3,0,0,0.00
Andy McKay ,0,2,1,0,0,0.00
Upul Tharanga ,30,31,29,4,1,96.77
Tillakaratne Dilshan ,73,93,142,10,1,78.49
Kumar Sangakkara (c)†,54,79,132,7,1,68.35
Mahela Jayawardene ,1,3,3,0,0,33.33
Thilan Samaraweera ,23,38,77,2,0,60.52
Chamara Silva ,13,25,29,2,0,52.00
Angelo Mathews ,14,18,31,1,1,77.77
Virender Sehwag ,38,25,32,9,0,152.00
Sachin Tendulkar ,85,115,160,11,0,73.91
Gautam Gambhir ,27,32,55,2,0,84.37
Virat Kohli ,9,21,20,0,0,42.85
Yuvraj Singh ,0,1,1,0,0,0.00
MS Dhoni (c)†,25,42,64,2,0,59.52
Suresh Raina ,36,39,69,3,0,92.30
Harbhajan Singh ,12,15,28,2,0,80.00
Zaheer Khan ,9,10,14,1,0,90.00
Ashish Nehra ,1,2,1,0,0,50.00
Munaf Patel ,0,0,1,0,0,-
Kamran Akmal †,19,21,40,3,0,90.47
Mohammad Hafeez ,43,59,66,7,0,72.88
Asad Shafiq ,30,39,61,2,0,76.92
Younis Khan ,13,32,44,0,0,40.62
Misbah-ul-Haq ,56,76,134,5,1,73.68
Umar Akmal ,29,24,35,1,2,120.83
Abdul Razzaq ,3,9,12,0,0,33.33
Shahid Afridi (c),19,17,25,1,0,111.76
Wahab Riaz ,8,14,16,1,0,57.14
Umar Gul ,2,3,9,0,0,66.66
Saeed Ajmal ,1,5,18,0,0,20.00
Upul Tharanga ,2,20,30,0,0,10.00
Tillakaratne Dilshan ,33,49,87,3,0,67.34
Kumar Sangakkara (c)†,48,67,102,5,0,71.64
Mahela Jayawardene ,103,88,159,13,0,117.04
Thilan Samaraweera ,21,34,53,2,0,61.76
Chamara Kapugedera ,1,5,6,0,0,20.00
Nuwan Kulasekara ,32,30,41,1,1,106.66
Thisara Perera ,22,9,10,3,1,244.44
Virender Sehwag ,0,2,2,0,0,0.00
Sachin Tendulkar ,18,14,21,2,0,128.57
Gautam Gambhir ,97,122,187,9,0,79.50
Virat Kohli ,35,49,69,4,0,71.42
MS Dhoni (c)†,91,79,128,8,2,115.18
Yuvraj Singh ,21,24,39,2,0,87.50
